iterations,fitness,time,fevals
0,19.0,0.097521424,1000
10,24.0,0.188144391,2100
20,26.0,0.265550898,3200
30,28.0,0.337524844,4300
40,28.0,0.403472506,5400
50,30.0,0.470190507,6500
60,30.0,0.535465899,7600
70,29.0,0.599050554,8700
80,29.0,0.66399731,9800
90,30.0,0.72925386,10900
100,29.0,0.791334741,12000
110,29.0,0.860626952,13100
120,30.0,0.923385579,14200
130,29.0,0.988818812,15300
140,29.0,1.051792164,16400
150,28.0,1.116048421,17500
160,29.0,1.179104175,18600
170,29.0,1.2441049,19700
180,29.0,1.307427041,20800
190,28.0,1.371376851,21900
200,30.0,1.434388827,23000
210,28.0,1.501002662,24100
220,30.0,1.56419283,25200
230,30.0,1.630116773,26300
240,30.0,1.696116405,27400
250,30.0,1.761336955,28500
260,31.0,1.82546546,29600
270,30.0,1.891341115,30700
280,30.0,1.95344573,31800
290,30.0,2.017093391,32900
300,30.0,2.081237539,34000
310,30.0,2.147301564,35100
320,31.0,2.213239759,36200
330,31.0,2.278633692,37300
340,32.0,2.346023565,38400
350,34.0,2.411014152,39500
360,33.0,2.474910236,40600
370,34.0,2.54003482,41700
380,35.0,2.603195453,42800
390,33.0,2.669468307,43900
400,35.0,2.734274844,45000
410,34.0,2.799549879,46100
420,33.0,2.86447882,47200
430,33.0,2.927013783,48300
440,33.0,2.98883981,49400
450,33.0,3.051346603,50500
460,32.0,3.115111354,51600
470,32.0,3.177169228,52700
480,33.0,3.240393872,53800
490,35.0,3.304331708,54900
500,34.0,3.371281585,56000
510,34.0,3.434385067,57100
520,33.0,3.500774642,58200
530,34.0,3.565882794,59300
540,33.0,3.629957748,60400
550,34.0,3.696645511,61500
560,34.0,3.760697423,62600
570,35.0,3.824491153,63700
580,34.0,3.889872764,64800
590,35.0,3.95306303,65900
600,34.0,4.014706517,67000
610,34.0,4.07604748,68100
620,34.0,4.141276676,69200
630,35.0,4.20281118,70300
640,35.0,4.262895799,71400
650,36.0,4.327028173,72500
660,35.0,4.389443752,73600
670,36.0,4.453579918,74700
680,37.0,4.516867941,75800
690,36.0,4.581303057,76900
700,35.0,4.641895319,78000
710,35.0,4.702999535,79100
720,37.0,4.767665276,80200
730,35.0,4.830380841,81300
740,35.0,4.889561578,82400
750,35.0,4.951144404,83500
760,35.0,5.014835033,84600
770,35.0,5.077802262,85700
780,35.0,5.140424188,86800
790,36.0,5.203905178,87900
800,35.0,5.269870508,89000
810,36.0,5.333663775,90100
820,36.0,5.392939758,91200
830,36.0,5.455306067,92300
840,36.0,5.517737624,93400
850,36.0,5.57725149,94500
860,36.0,5.637897371,95600
870,36.0,5.699891854,96700
880,36.0,5.759265367,97800
890,36.0,5.818573188,98900
900,36.0,5.877146828,100000
910,36.0,5.938757195,101100
920,36.0,5.999134221,102200
930,35.0,6.060602512,103300
940,35.0,6.11880301,104400
950,36.0,6.177466081,105500
960,36.0,6.235578308,106600
970,37.0,6.295933678,107700
980,36.0,6.355866864,108800
990,36.0,6.416507313,109900
1000,36.0,6.47464842,111000
1010,36.0,6.537772331,112100
1020,36.0,6.59989843,113200
1030,36.0,6.66210223,114300
1040,36.0,6.724960994,115400
1050,36.0,6.788720328,116500
1060,35.0,6.850028646,117600
1070,36.0,6.912212766,118700
1080,36.0,6.973757056,119800
1090,36.0,7.035568327,120900
1100,36.0,7.096410039,122000
1110,36.0,7.154875481,123100
1120,36.0,7.213234104,124200
1130,36.0,7.272161547,125300
1140,37.0,7.330818311,126400
1150,36.0,7.389368676,127500
1160,36.0,7.449771491,128600
1170,39.0,7.512311563,129700
1180,36.0,7.575674515,130800
1190,35.0,7.635958374,131900
