iterations,fitness,time,fevals
0,30.0,0.000935261,466
10,32.0,0.001612918,837
20,31.0,0.002207622,1204
30,30.0,0.002811807,1569
40,30.0,0.003442531,1934
50,31.0,0.004041112,2299
60,34.0,0.004610852,2673
70,35.0,0.005212746,3039
80,36.0,0.005789751,3405
90,35.0,0.006361086,3775
100,36.0,0.006954955,4144
110,36.0,0.007552428,4508
120,36.0,0.008148617,4886
130,36.0,0.008732597,5249
140,36.0,0.009332271,5616
150,36.0,0.009912399,5983
160,36.0,0.010492262,6348
170,36.0,0.011086047,6716
180,36.0,0.011661463,7084
190,38.0,0.012260605,7456
200,38.0,0.012857565,7823
210,38.0,0.013470464,8184
220,42.0,0.014073132,8547
230,42.0,0.014689586,8916
240,45.0,0.015293255,9286
250,47.0,0.015870026,9651
260,47.0,0.016301977,10013
270,47.0,0.01673632,10379
280,47.0,0.01714329,10751
290,47.0,0.017587533,11119
300,48.0,0.017998379,11483
310,50.0,0.018424599,11855
320,47.0,0.018836693,12225
330,47.0,0.019284106,12593
340,47.0,0.019719358,12965
350,47.0,0.020178286,13334
360,48.0,0.020611203,13705
370,50.0,0.021024185,14069
380,50.0,0.021409585,14437
390,50.0,0.021826087,14803
400,50.0,0.022217656,15163
410,50.0,0.022628365,15529
420,50.0,0.023018454,15892
430,50.0,0.023417548,16255
440,52.0,0.023833395,16624
450,52.0,0.024262729,16997
460,52.0,0.024671699,17356
470,52.0,0.02509794,17721
480,52.0,0.025521911,18088
490,52.0,0.025951944,18455
500,52.0,0.026346217,18824
510,52.0,0.026728002,19191
520,52.0,0.027122501,19562
530,52.0,0.027532973,19918
540,52.0,0.027961061,20287
550,52.0,0.028370608,20653
560,52.0,0.028780657,21009
570,52.0,0.029165659,21379
580,52.0,0.029601334,21744
590,52.0,0.029992764,22111
600,52.0,0.030408646,22474
610,52.0,0.030836974,22842
620,52.0,0.031300572,23217
630,52.0,0.031701512,23576
640,52.0,0.032124951,23940
650,52.0,0.032514481,24309
660,52.0,0.032939298,24675
670,52.0,0.033346401,25037
