iterations,fitness,time,fevals
0,525.0,0.003918919,563
10,533.0,0.006995514,1022
20,531.0,0.009888153,1484
30,537.0,0.012602138,1937
40,535.0,0.015687496,2391
50,537.0,0.018725586,2852
60,535.0,0.021291092,3301
70,537.0,0.02447238,3751
80,539.0,0.027213745,4202
90,543.0,0.02967576,4660
100,539.0,0.032091008,5127
110,538.0,0.034481517,5596
120,538.0,0.036976331,6044
130,538.0,0.039386271,6499
140,546.0,0.041783155,6950
150,532.0,0.044172628,7405
160,532.0,0.046544115,7868
170,534.0,0.049227115,8309
180,528.0,0.053069966,8751
190,530.0,0.055485759,9207
200,530.0,0.05800249,9664
210,528.0,0.060838834,10127
220,528.0,0.06350363,10575
230,526.0,0.065866708,11034
240,528.0,0.068241928,11485
250,526.0,0.07096125,11940
260,524.0,0.073901588,12378
270,526.0,0.0762792,12840
280,524.0,0.078912476,13300
290,518.0,0.081649899,13764
300,520.0,0.084650459,14216
310,520.0,0.087328534,14672
320,520.0,0.08966248,15130
330,522.0,0.092407485,15591
340,526.0,0.094816632,16055
350,524.0,0.097221128,16516
360,528.0,0.09992721,16972
370,528.0,0.102253873,17437
380,532.0,0.104925862,17892
390,528.0,0.107986858,18348
400,534.0,0.111012183,18809
410,538.0,0.113364737,19275
420,542.0,0.116247615,19723
430,544.0,0.119767531,20182
440,542.0,0.122686179,20637
450,542.0,0.125192759,21095
460,534.0,0.127684796,21544
470,532.0,0.130056682,21980
480,536.0,0.132413659,22422
490,538.0,0.135122009,22869
500,538.0,0.137819218,23327
510,532.0,0.140203003,23799
520,534.0,0.142584643,24251
530,538.0,0.145040529,24705
540,530.0,0.147486656,25160
550,534.0,0.149911302,25618
560,530.0,0.152336404,26087
570,528.0,0.155296446,26535
580,534.0,0.158900941,26991
590,534.0,0.162471155,27442
600,532.0,0.166142584,27894
610,532.0,0.168696082,28358
620,532.0,0.17150532,28810
630,534.0,0.17385982,29266
640,538.0,0.176350283,29729
650,540.0,0.178737424,30181
660,541.0,0.181153424,30626
670,538.0,0.183565166,31074
680,540.0,0.185982688,31538
690,540.0,0.188463052,32002
700,540.0,0.190867488,32456
710,536.0,0.193231068,32901
720,536.0,0.195617462,33356
730,540.0,0.198003384,33818
740,540.0,0.200562045,34260
750,536.0,0.20304499,34709
760,536.0,0.205456351,35159
770,532.0,0.207965184,35611
780,536.0,0.210398848,36064
790,538.0,0.212740029,36511
800,540.0,0.215498995,36968
810,540.0,0.218405304,37442
820,538.0,0.221958569,37899
830,538.0,0.224712978,38371
840,538.0,0.22708294,38829
850,534.0,0.229494446,39280
860,534.0,0.231897381,39740
870,534.0,0.234986803,40192
880,532.0,0.237757654,40645
890,534.0,0.240127568,41085
900,538.0,0.242554448,41545
910,538.0,0.245449228,42007
920,540.0,0.248639472,42458
930,538.0,0.251043408,42915
940,542.0,0.253418072,43380
950,538.0,0.255878952,43835
960,546.0,0.258718888,44274
970,540.0,0.261062751,44729
980,542.0,0.263547946,45188
990,542.0,0.265924253,45655
1000,537.0,0.268330888,46115
1010,538.0,0.270733356,46550
1020,540.0,0.273111187,47008
1030,542.0,0.275607015,47465
1040,542.0,0.278232674,47932
1050,538.0,0.281020307,48392
1060,540.0,0.283474276,48854
1070,542.0,0.286204351,49315
1080,540.0,0.289061671,49773
1090,546.0,0.291480085,50213
1100,542.0,0.294260243,50659
1110,544.0,0.296794631,51113
1120,540.0,0.299478002,51553
1130,540.0,0.30204967,52010
1140,542.0,0.305023772,52453
1150,546.0,0.307717355,52913
1160,544.0,0.310600303,53375
1170,548.0,0.3133684,53820
1180,548.0,0.316473578,54266
1190,540.0,0.319651489,54740
1200,542.0,0.322884041,55197
1210,544.0,0.325258363,55656
1220,548.0,0.327936934,56109
1230,544.0,0.330636975,56555
1240,548.0,0.333312443,57009
1250,552.0,0.335839339,57470
1260,550.0,0.338219125,57924
