iterations,fitness,time,fevals
0,563.0,13.812834282,1000
10,612.0,27.230112511,2100
20,656.0,39.140963057,3200
30,694.0,49.988855633,4300
40,722.0,60.008190233,5400
50,742.0,69.727449345,6500
60,746.0,78.663240863,7600
70,752.0,87.913904548,8700
80,754.0,97.065741847,9800
90,752.0,105.717499744,10900
100,752.0,115.146425834,12000
110,752.0,123.78096635,13100
120,752.0,132.092398662,14200
130,752.0,141.231084319,15300
140,752.0,150.21999401,16400
150,756.0,158.709530734,17500
160,754.0,167.308812921,18600
170,754.0,175.645080103,19700
180,752.0,184.418799638,20800
190,752.0,193.231693807,21900
200,752.0,201.875856577,23000
210,750.0,210.565592053,24100
220,750.0,219.466656144,25200
230,752.0,228.838945975,26300
240,750.0,237.43440398,27400
250,752.0,246.136770778,28500
260,750.0,254.652027086,29600
270,754.0,263.581509309,30700
280,752.0,272.156898311,31800
290,752.0,280.721780163,32900
300,752.0,289.561790482,34000
310,750.0,298.3599994,35100
320,750.0,306.889071279,36200
330,752.0,315.678716689,37300
340,750.0,324.404345138,38400
350,752.0,332.970008629,39500
360,750.0,341.416859404,40600
370,752.0,350.513696527,41700
380,750.0,359.399602683,42800
390,750.0,367.932863119,43900
400,752.0,376.441737279,45000
410,752.0,385.726347914,46100
420,750.0,394.091343629,47200
430,750.0,402.68872775,48300
440,752.0,411.382387675,49400
450,750.0,420.333307296,50500
460,751.0,429.342701713,51600
470,752.0,438.183888585,52700
480,752.0,446.843545942,53800
490,752.0,455.868199392,54900
500,752.0,464.962821161,56000
510,752.0,473.645018341,57100
520,754.0,482.70816225,58200
530,752.0,491.640932198,59300
540,752.0,500.060134828,60400
550,752.0,508.862222287,61500
560,752.0,517.593722002,62600
570,752.0,526.264408416,63700
580,752.0,535.233930054,64800
590,754.0,544.2898179,65900
600,752.0,553.016054907,67000
610,750.0,561.508111764,68100
620,750.0,570.12877519,69200
630,750.0,578.869004936,70300
640,754.0,587.792436394,71400
650,752.0,596.40930635,72500
660,752.0,605.284620552,73600
670,750.0,613.939914492,74700
680,750.0,622.801926232,75800
690,750.0,631.701342534,76900
700,750.0,640.428361795,78000
710,754.0,649.73179691,79100
720,752.0,658.716932255,80200
730,752.0,667.530972812,81300
740,750.0,676.521610646,82400
750,752.0,685.244000343,83500
760,752.0,693.858367708,84600
770,752.0,702.321657486,85700
780,750.0,711.154423991,86800
790,752.0,719.737728166,87900
800,752.0,728.602219151,89000
810,751.0,737.184121347,90100
820,750.0,746.028548751,91200
830,752.0,755.061017631,92300
840,754.0,763.654821941,93400
850,754.0,772.106788977,94500
860,750.0,780.46323186,95600
870,750.0,789.265904166,96700
880,750.0,797.97602963,97800
890,750.0,806.761162233,98900
900,752.0,815.672311129,100000
910,752.0,823.972723282,101100
920,752.0,832.861827885,102200
930,750.0,841.413175836,103300
940,750.0,850.758999975,104400
950,754.0,859.126647645,105500
960,752.0,867.508089248,106600
970,750.0,875.900944367,107700
980,756.0,884.460847077,108800
990,750.0,892.73927621,109900
1000,750.0,901.179530236,111000
1010,754.0,909.717933916,112100
1020,752.0,918.077108801,113200
1030,750.0,926.727388977,114300
1040,752.0,935.536312881,115400
1050,752.0,944.589175955,116500
1060,754.0,953.799763951,117600
1070,752.0,962.456426787,118700
1080,752.0,971.485041184,119800
1090,750.0,980.058081467,120900
1100,752.0,988.370010018,122000
1110,752.0,997.19075277,123100
1120,752.0,1005.7106311,124200
1130,754.0,1014.01176356,125300
1140,754.0,1022.59248187,126400
1150,752.0,1031.57091573,127500
1160,750.0,1040.06943736,128600
1170,752.0,1048.57304887,129700
1180,752.0,1056.90631774,130800
1190,752.0,1065.7908478,131900
1200,752.0,1074.02926066,133000
