iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.154690134574,0.157430076158,0.15390208418,0.40007293946,0.395043731778,0.404761904762,0.595373361
1,0.125383987758,0.127516653072,0.128442678108,0.669948942378,0.663265306122,0.668027210884,1.279450906
2,0.137471388588,0.136475979256,0.135324142706,0.498905908096,0.502915451895,0.501360544218,1.907359122
3,0.131958811574,0.132124114369,0.133482035313,0.483223924143,0.47667638484,0.482993197279,2.495981477
4,0.13337388822,0.133562616865,0.135014040538,0.468636032093,0.467930029155,0.463265306122,3.039034504
5,0.106561212452,0.107387325608,0.107447397004,0.645514223195,0.644314868805,0.648299319728,3.649476564
6,0.157043060737,0.158347756853,0.158494071414,0.348650619985,0.348396501458,0.342176870748,4.239897359
7,0.125257897773,0.128879789278,0.131089152022,0.560904449307,0.548104956268,0.543537414966,4.854718642
8,0.105318504205,0.108465507417,0.112502803446,0.666666666667,0.661807580175,0.643537414966,5.422586594
9,0.104425015001,0.100789938796,0.100280061947,0.684172137126,0.68221574344,0.702040816327,6.05237453
10,0.131931350702,0.132036654868,0.133498935944,0.481765134938,0.481049562682,0.481632653061,6.663924251
11,0.152541765173,0.152027022851,0.15186835348,0.365426695842,0.392128279883,0.372789115646,7.253315505
12,0.122256526948,0.122190036616,0.123315493163,0.575857038658,0.562682215743,0.54693877551,7.871785524
13,0.104208018778,0.100854671962,0.100104269197,0.682713347921,0.686588921283,0.7,8.422806354
14,0.111371232183,0.111234717288,0.1134027669,0.67067833698,0.67638483965,0.680952380952,9.041582529
15,0.104635126909,0.101079191368,0.100713367134,0.687089715536,0.689504373178,0.698639455782,9.705990602
16,0.139032769511,0.13877603759,0.139811825426,0.495988329686,0.486880466472,0.485034013605,10.25648302
17,0.135864857506,0.14047058507,0.144276063546,0.536834427425,0.520408163265,0.495238095238,10.916481086
18,0.10681914736,0.105843927408,0.10700481824,0.665572574763,0.67055393586,0.663945578231,11.555462703
19,0.106911151546,0.106078348636,0.107382127432,0.666666666667,0.672011661808,0.665306122449,12.149367989
20,0.10418821953,0.104552354305,0.103543441852,0.664478482859,0.65889212828,0.671428571429,12.793959496
21,0.106591850402,0.10553615483,0.106838735929,0.664478482859,0.672011661808,0.665306122449,13.346339119
22,0.105336587979,0.104685773321,0.105952455379,0.667031363968,0.672011661808,0.663265306122,13.85860287
23,0.115150738186,0.112787072245,0.112991365662,0.656090444931,0.67055393586,0.662585034014,14.403728066
24,0.104262571129,0.104646581907,0.103504283296,0.665207877462,0.660349854227,0.668707482993,14.970510133
25,0.115061636376,0.112737273034,0.112912725569,0.657549234136,0.67055393586,0.662585034014,15.491914158
26,0.108863431512,0.107189758471,0.108983999846,0.665207877462,0.674927113703,0.670068027211,16.079976137
27,0.116853975259,0.119088660188,0.117250378037,0.628738147338,0.628279883382,0.628571428571,16.668581443
28,0.122988030221,0.126206909143,0.125195992814,0.549598832969,0.532069970845,0.520408163265,17.240266243
29,0.139326305694,0.140664285577,0.140388590721,0.46754194019,0.472303206997,0.465306122449,17.828961631
30,0.101166117642,0.101874569197,0.100976035242,0.681983953319,0.683673469388,0.680952380952,18.46484048
31,0.116192625447,0.115008060956,0.117371655023,0.607221006565,0.609329446064,0.598639455782,18.986187316
