iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.124665442661,0.12923294761,0.129081375073,0.640043763676,0.622448979592,0.618367346939,0.19528221
1,0.136873060797,0.137897265454,0.145225059907,0.56163384391,0.536443148688,0.52925170068,0.242897389
2,0.121586197549,0.121714842136,0.119289786239,0.653537563822,0.654518950437,0.660544217687,0.28413076
3,0.103110201439,0.111831670895,0.110741937816,0.694748358862,0.67055393586,0.678231292517,0.32431022
4,0.10817978876,0.106223421765,0.119163030736,0.667396061269,0.69387755102,0.628571428571,0.364257032
5,0.0964773782667,0.103871569517,0.101457421122,0.730853391685,0.714285714286,0.717006802721,0.405247886
6,0.086059904926,0.0904588766447,0.0937705817255,0.732676878191,0.721574344023,0.710884353741,0.44521749
7,0.0825088604104,0.0913952751729,0.0890919266193,0.756382202772,0.731778425656,0.74693877551,0.486114431
8,0.0777395236636,0.0867974202606,0.0885937302834,0.777534646244,0.736151603499,0.738775510204,0.526499643
9,0.0757914628619,0.0863840267852,0.085216126783,0.774617067834,0.750728862974,0.748299319728,0.567236214
10,0.0731392408,0.0829023031163,0.0850420048289,0.790299051787,0.765306122449,0.750340136054,0.607222945
11,0.0718523121737,0.0829862805199,0.083958938593,0.787381473377,0.760932944606,0.748979591837,0.648700535
12,0.0698450894978,0.0807622852759,0.0839022491004,0.800875273523,0.769679300292,0.750340136054,0.694589177
13,0.0686492289128,0.0797691914103,0.0827236507394,0.798687089716,0.769679300292,0.748299319728,0.735974931
14,0.067117925434,0.0787620968017,0.0832518579377,0.80306345733,0.776967930029,0.754421768707,0.775707249
15,0.066118082866,0.0784092702726,0.0824563705538,0.80598103574,0.776967930029,0.761904761905,0.816073716
16,0.0653067159745,0.078619158224,0.08377031805,0.810722100656,0.779883381924,0.765986394558,0.855673466
17,0.064488925324,0.0784134834744,0.0822449842651,0.813274981765,0.778425655977,0.76462585034,0.896067441
18,0.0634920938988,0.0780879463913,0.083043560984,0.815827862874,0.794460641399,0.763265306122,0.936693253
19,0.062949426238,0.0771851308156,0.0828862260066,0.819839533187,0.788629737609,0.768707482993,0.97651034
20,0.0620867571292,0.0773164358432,0.0828875326677,0.818016046681,0.794460641399,0.761904761905,1.016490501
21,0.06161817261,0.0786313693778,0.0830598221805,0.819839533187,0.794460641399,0.770068027211,1.056878264
22,0.0607782156643,0.0778285067261,0.0824976662077,0.82056892779,0.795918367347,0.76462585034,1.097815567
23,0.0600818354777,0.0791582484716,0.082407840285,0.824580598104,0.785714285714,0.772108843537,1.137704403
24,0.0592074843269,0.0785790352605,0.0822484972708,0.828227571116,0.791545189504,0.774829931973,1.17729548
25,0.0589964242726,0.079297882973,0.0818509951521,0.828956965718,0.788629737609,0.77074829932,1.216620181
26,0.058240536152,0.0787589722482,0.0820111943371,0.830780452225,0.785714285714,0.774829931973,1.255632802
27,0.057756593747,0.0783531081563,0.0814369817275,0.834792122538,0.787172011662,0.771428571429,1.296064006
28,0.0570475087916,0.0783180448956,0.0818147653021,0.836250911743,0.787172011662,0.772789115646,1.335953825
29,0.0564554310297,0.0780518360793,0.0815680342491,0.843180160467,0.790087463557,0.775510204082,1.375703245
30,0.0556806561559,0.0782240713833,0.0815453460285,0.845368344274,0.791545189504,0.77619047619,1.415978583
31,0.055116309492,0.0775193415874,0.081596310768,0.844274252371,0.785714285714,0.772789115646,1.45541674
32,0.0544879337258,0.0784033415206,0.0822481447059,0.846097738877,0.785714285714,0.775510204082,1.495363216
33,0.0542321796696,0.078223283206,0.081781900544,0.845003646973,0.782798833819,0.767346938776,1.535784617
34,0.053651237201,0.0786873761493,0.0824114783709,0.846462436178,0.784256559767,0.77619047619,1.576910215
35,0.053425730853,0.0778218308142,0.082107174059,0.851568198395,0.778425655977,0.765306122449,1.616059328
36,0.0530174536544,0.0784358597881,0.0822771130685,0.849015317287,0.778425655977,0.769387755102,1.656465486
37,0.0525160988926,0.0783194166932,0.0819165348088,0.851203501094,0.772594752187,0.767346938776,1.696590807
38,0.0520188650911,0.0782013397916,0.081893176476,0.851203501094,0.774052478134,0.765306122449,1.737060198
39,0.0515621190079,0.0781765534796,0.0822147361855,0.853756382203,0.776967930029,0.761904761905,1.776271517
40,0.0510760099083,0.0786747832839,0.0819508133327,0.851932895697,0.775510204082,0.766666666667,1.81568583
41,0.0504140167371,0.0782223408305,0.0819426414426,0.854850474106,0.774052478134,0.77074829932,1.854717788
42,0.0499057013686,0.0783489992319,0.082110317357,0.854850474106,0.771137026239,0.769387755102,1.894617854
43,0.0493926463571,0.0788140426829,0.081922528471,0.860320933625,0.768221574344,0.768707482993,1.935121345
44,0.0491359647047,0.0787187907628,0.0825915113628,0.857403355215,0.772594752187,0.767346938776,1.975563904
45,0.0488395005567,0.0788631180307,0.0821389944542,0.863967906637,0.779883381924,0.771428571429,2.014996346
46,0.0483490374809,0.0790680446238,0.082536242569,0.862873814734,0.769679300292,0.771428571429,2.054952864
47,0.048290090438,0.078571510619,0.0822317812622,0.869073668855,0.779883381924,0.773469387755,2.094674515
48,0.0479113414676,0.078893112655,0.0821954947404,0.863603209336,0.771137026239,0.77074829932,2.13400556
