iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.121759404512,0.119524145135,0.122106749678,0.615244347192,0.623906705539,0.614285714286,0.01748495
1,0.122128402171,0.119480852338,0.122630679095,0.617067833698,0.637026239067,0.612925170068,0.035614382
2,0.123215526262,0.120192972324,0.123536546828,0.607950401167,0.623906705539,0.612244897959,0.053470824
3,0.123337194793,0.120321616563,0.123623065151,0.609409190372,0.625364431487,0.612925170068,0.071205811
4,0.123337194793,0.120321616563,0.123623065151,0.609409190372,0.625364431487,0.612925170068,0.089094073
5,0.123295249248,0.120278645443,0.12357526619,0.60867979577,0.625364431487,0.612925170068,0.107437304
6,0.123388977276,0.120364621301,0.123687389616,0.607221006565,0.622448979592,0.61156462585,0.125164289
7,0.123228991804,0.120363467668,0.123828033687,0.602479941648,0.616618075802,0.610884353741,0.143021878
8,0.123586011649,0.120695037502,0.12422787601,0.606491611962,0.613702623907,0.603401360544,0.160670769
9,0.123654332003,0.12076098382,0.124305261521,0.605397520058,0.615160349854,0.602040816327,0.178600153
10,0.123758814371,0.120895638532,0.124458512717,0.60576221736,0.613702623907,0.600680272109,0.196809727
11,0.122936332443,0.120486164445,0.124036051886,0.601385849745,0.610787172012,0.602721088435,0.214344293
12,0.124309775252,0.121921737038,0.125580028622,0.595550692925,0.604956268222,0.59387755102,0.231981699
13,0.12270856251,0.120237936509,0.124002110383,0.59992706054,0.606413994169,0.603401360544,0.249818643
14,0.122480888617,0.120013350026,0.123791122417,0.602479941648,0.606413994169,0.603401360544,0.267513024
15,0.121759337065,0.119215973021,0.12303498778,0.611597374179,0.619533527697,0.606802721088,0.285167943
16,0.122849588759,0.120473700037,0.124137435656,0.610503282276,0.615160349854,0.606802721088,0.303457785
17,0.122941159131,0.120699424017,0.124396124262,0.60867979577,0.607871720117,0.600680272109,0.321164815
18,0.122941159131,0.120699424017,0.124396124262,0.60867979577,0.607871720117,0.600680272109,0.339006987
19,0.123348413417,0.121058382127,0.124672716777,0.609409190372,0.604956268222,0.602721088435,0.357018658
20,0.124034904399,0.121975254241,0.125913649824,0.609044493071,0.615160349854,0.598639455782,0.375144362
21,0.123871350776,0.121679472468,0.125656093414,0.614150255288,0.620991253644,0.6,0.392792458
22,0.123873433117,0.121682396776,0.125660021705,0.614150255288,0.620991253644,0.6,0.411180444
23,0.123379148481,0.121009796999,0.124915462078,0.614514952589,0.610787172012,0.608843537415,0.429312484
24,0.123242528795,0.121009087666,0.124895448244,0.612691466083,0.610787172012,0.60612244898,0.447727026
25,0.12355798125,0.121226621918,0.125036642952,0.612326768782,0.615160349854,0.60612244898,0.465796201
26,0.12352708631,0.121204860886,0.125012393913,0.611962071481,0.615160349854,0.60612244898,0.484021269
27,0.12278592631,0.120402061133,0.124232675379,0.619256017505,0.623906705539,0.610204081633,0.502041498
28,0.12249568526,0.12021891804,0.123980455446,0.62071480671,0.629737609329,0.609523809524,0.519924975
29,0.123658878234,0.121571113811,0.125191012637,0.614150255288,0.622448979592,0.602040816327,0.537880919
30,0.123914638059,0.121721043217,0.125395839429,0.612326768782,0.613702623907,0.597959183673,0.556424067
31,0.127946747328,0.124977361026,0.128947785047,0.595185995624,0.600583090379,0.585714285714,0.574423807
32,0.127942546258,0.124969708469,0.128937641396,0.595915390226,0.602040816327,0.585714285714,0.592323202
33,0.128238310465,0.125356560652,0.129444154908,0.595915390226,0.596209912536,0.580952380952,0.610102271
34,0.127908502092,0.124989032625,0.129007543202,0.597738876732,0.603498542274,0.586394557823,0.628249884
35,0.128044697516,0.125078754279,0.12913078076,0.59700948213,0.604956268222,0.586394557823,0.646060386
36,0.128017839752,0.125011564178,0.129070997072,0.597374179431,0.602040816327,0.586394557823,0.664123882
37,0.127887057449,0.125053239965,0.12905593283,0.598832968636,0.606413994169,0.583673469388,0.681695141
38,0.127272446572,0.12441080321,0.128126132776,0.596644784829,0.603498542274,0.589115646259,0.699613783
39,0.127190726588,0.124368975185,0.128060751049,0.598832968636,0.604956268222,0.589795918367,0.717637393
40,0.127522837644,0.12476987691,0.128399827806,0.596280087527,0.607871720117,0.590476190476,0.735442348
41,0.127415251274,0.124722232376,0.128371895222,0.598832968636,0.606413994169,0.591836734694,0.753370092
42,0.127417120316,0.124719154366,0.128370734053,0.598103574034,0.606413994169,0.591836734694,0.772728836
43,0.127566307439,0.124729622676,0.128208565106,0.597374179431,0.610787172012,0.589795918367,0.7904764
44,0.127543167217,0.124692523035,0.128095737357,0.595915390226,0.607871720117,0.589115646259,0.808267787
45,0.12745595655,0.124627103672,0.127983533038,0.598103574034,0.606413994169,0.592517006803,0.826140661
46,0.128404879974,0.125713682055,0.128392339763,0.598468271335,0.604956268222,0.604081632653,0.84384715
47,0.128398560534,0.125693273955,0.128377206493,0.598832968636,0.604956268222,0.602721088435,0.861267418
48,0.128411019552,0.125706845885,0.128399088621,0.597374179431,0.603498542274,0.603401360544,0.879021944
49,0.128231117516,0.125490193006,0.12819014586,0.598103574034,0.604956268222,0.60612244898,0.896966836
50,0.128233642544,0.125505673166,0.128202627597,0.598468271335,0.604956268222,0.605442176871,0.914870683
51,0.129069200407,0.126501180608,0.129149346297,0.595915390226,0.604956268222,0.598639455782,0.932902058
52,0.129142151778,0.126628518571,0.129249271406,0.594456601021,0.604956268222,0.597959183673,0.950693428
53,0.130619979071,0.128502605605,0.13104389755,0.58533916849,0.600583090379,0.579591836735,0.968294015
54,0.129809063943,0.127574962254,0.130403524284,0.5882567469,0.597667638484,0.585714285714,0.986136348
55,0.129533666217,0.127326067707,0.130159855957,0.593727206419,0.600583090379,0.589795918367,1.004259319
56,0.129005752501,0.126826544934,0.129407675666,0.600656455142,0.599125364431,0.596598639456,1.02188021
57,0.128676543169,0.126487464355,0.129047426746,0.598103574034,0.603498542274,0.600680272109,1.039872223
58,0.128676543169,0.126487464355,0.129047426746,0.598103574034,0.603498542274,0.600680272109,1.05789369
59,0.128475566366,0.126187724802,0.128757805235,0.601021152443,0.604956268222,0.602040816327,1.075868465
60,0.128057607518,0.125691500884,0.128262780013,0.605397520058,0.609329446064,0.604761904762,1.093542407
61,0.127813154455,0.125175285769,0.12784335906,0.60284463895,0.612244897959,0.60612244898,1.11127593
62,0.127813154455,0.125175285769,0.12784335906,0.60284463895,0.612244897959,0.60612244898,1.128993251
63,0.1275295592,0.124837527622,0.127498934133,0.603938730853,0.610787172012,0.608843537415,1.146582695
64,0.127443759808,0.124765664732,0.12744659482,0.604303428155,0.613702623907,0.608163265306,1.164498604
65,0.127132255023,0.124435523438,0.127499765631,0.595915390226,0.610787172012,0.593197278912,1.182546611
66,0.127198046047,0.124524348265,0.127575933129,0.596644784829,0.606413994169,0.593197278912,1.200716915
67,0.127149554688,0.124564937519,0.127594720219,0.594821298322,0.602040816327,0.591836734694,1.21880032
68,0.121897853092,0.11935503157,0.123087808112,0.611597374179,0.616618075802,0.609523809524,1.237111327
69,0.120321822177,0.117827607107,0.121744107545,0.607950401167,0.615160349854,0.608843537415,1.255063266
70,0.119128118733,0.116850046221,0.120964011548,0.612326768782,0.629737609329,0.608843537415,1.273002325
71,0.119094253654,0.116868385552,0.121001965264,0.614150255288,0.626822157434,0.608843537415,1.29109026
72,0.118607536367,0.116146470387,0.120555065142,0.613420860686,0.623906705539,0.614285714286,1.308938285
73,0.118589864895,0.116059174747,0.120506841453,0.615244347192,0.625364431487,0.616326530612,1.326938243
74,0.118678234666,0.11614360204,0.120738838553,0.616338439096,0.628279883382,0.612925170068,1.345019226
75,0.118678234666,0.11614360204,0.120738838553,0.616338439096,0.628279883382,0.612925170068,1.362896184
76,0.11864304038,0.116157831975,0.120676034516,0.616338439096,0.626822157434,0.61156462585,1.380688234
