iterations,fitness,time,fevals
0,26.0,0.002118204,733
10,28.0,0.003947736,1368
20,26.0,0.005834912,1992
30,29.0,0.007357043,2635
40,31.0,0.009366729,3263
50,28.0,0.010903445,3893
60,29.0,0.012416734,4522
70,30.0,0.013711314,5148
80,29.0,0.015084046,5768
90,31.0,0.016381077,6396
100,32.0,0.017559716,7022
110,30.0,0.018751117,7654
120,31.0,0.020014356,8291
130,33.0,0.021223245,8922
140,31.0,0.022414969,9559
150,32.0,0.024092913,10195
160,32.0,0.025282334,10825
170,33.0,0.0264716,11456
180,32.0,0.027553152,12097
190,33.0,0.028813149,12730
200,33.0,0.029924923,13365
210,33.0,0.031466846,13991
220,33.0,0.033083519,14625
230,34.0,0.034406045,15247
240,35.0,0.035573872,15878
250,36.0,0.036932959,16511
260,36.0,0.038161711,17142
270,35.0,0.039303913,17762
280,35.0,0.040429089,18383
290,34.0,0.041570126,19027
300,35.0,0.042720529,19667
310,35.0,0.04399071,20303
320,35.0,0.045150245,20931
330,36.0,0.04627638,21567
340,36.0,0.047468293,22205
350,37.0,0.049136476,22832
360,37.0,0.051790132,23466
370,37.0,0.054271798,24092
380,37.0,0.05629373,24715
390,37.0,0.058242857,25335
400,38.0,0.06089566,25961
410,37.0,0.06320813,26600
420,38.0,0.066054569,27236
430,37.0,0.068509169,27874
440,38.0,0.070635957,28505
450,38.0,0.072669313,29130
460,38.0,0.07457979,29746
470,39.0,0.076566481,30370
480,39.0,0.078371602,30997
490,38.0,0.080194626,31631
500,38.0,0.082009665,32265
510,38.0,0.084027535,32906
520,38.0,0.086013388,33525
530,38.0,0.088049602,34156
540,38.0,0.090395523,34791
550,38.0,0.092368906,35416
560,38.0,0.094505068,36055
570,39.0,0.096608448,36691
580,38.0,0.09848659,37313
590,38.0,0.100309194,37947
600,40.0,0.102278127,38579
610,39.0,0.104073057,39213
620,39.0,0.10627805,39829
630,38.0,0.108160594,40463
640,39.0,0.110187022,41093
650,38.0,0.112017263,41729
660,39.0,0.113907723,42358
670,41.0,0.115801928,42988
680,41.0,0.117648329,43629
690,39.0,0.119464428,44256
700,39.0,0.121498927,44895
710,39.0,0.123286825,45522
720,41.0,0.125175791,46156
730,40.0,0.127024994,46774
740,41.0,0.128847927,47400
750,43.0,0.130942041,48030
760,44.0,0.132966656,48660
770,41.0,0.134757024,49285
780,41.0,0.136678277,49914
790,41.0,0.138691343,50556
800,41.0,0.140678891,51180
810,41.0,0.142730991,51819
820,41.0,0.144645757,52457
830,41.0,0.1464743,53083
840,42.0,0.14849609,53700
850,42.0,0.150700805,54338
860,42.0,0.152754606,54967
870,43.0,0.154574521,55595
880,43.0,0.156442625,56222
890,42.0,0.162062737,56846
900,43.0,0.165633298,57478
910,43.0,0.169616902,58119
920,43.0,0.173515427,58743
930,42.0,0.177238128,59364
940,43.0,0.183384172,59993
950,44.0,0.185549471,60632
960,44.0,0.190959827,61251
970,44.0,0.194644558,61890
980,44.0,0.196655243,62519
990,48.0,0.198702045,63156
1000,45.0,0.200888768,63779
1010,45.0,0.205236705,64401
1020,45.0,0.207161589,65037
1030,45.0,0.209038814,65660
1040,47.0,0.210916409,66285
1050,47.0,0.212853415,66914
1060,46.0,0.214743612,67538
1070,47.0,0.216749387,68181
1080,48.0,0.219000804,68800
1090,50.0,0.220918059,69423
1100,52.0,0.222756701,70052
1110,50.0,0.224681538,70689
1120,52.0,0.226557653,71328
1130,52.0,0.228484869,71955
1140,56.0,0.230350768,72594
1150,57.0,0.232303466,73222
1160,56.0,0.234259937,73862
1170,56.0,0.236287716,74498
1180,57.0,0.238315017,75127
1190,57.0,0.240396781,75768
1200,60.0,0.242481819,76401
1210,60.0,0.244414456,77035
1220,57.0,0.246400436,77667
1230,56.0,0.248415027,78293
1240,55.0,0.250286787,78917
1250,54.0,0.252107326,79543
1260,55.0,0.253997718,80164
1270,56.0,0.25579102,80806
1280,55.0,0.257648013,81437
1290,55.0,0.259534691,82071
1300,55.0,0.261367279,82709
1310,54.0,0.263174263,83340
1320,54.0,0.26495834,83963
1330,55.0,0.266808067,84599
1340,55.0,0.26879759,85215
1350,54.0,0.270645317,85829
1360,55.0,0.272633767,86457
1370,54.0,0.27468582,87092
1380,54.0,0.276730502,87732
1390,54.0,0.278787205,88359
1400,54.0,0.280829144,88977
1410,55.0,0.282602456,89597
1420,55.0,0.291047331,90249
1430,56.0,0.292154716,90871
1440,55.0,0.29316072,91488
1450,56.0,0.294169392,92119
1460,55.0,0.295207219,92744
1470,56.0,0.296231165,93380
1480,56.0,0.297439956,94005
1490,56.0,0.298499113,94640
1500,56.0,0.29951465,95279
1510,57.0,0.300545193,95902
1520,58.0,0.301592888,96517
1530,58.0,0.302655208,97147
1540,58.0,0.303705864,97786
1550,58.0,0.305314194,98419
1560,56.0,0.306452923,99055
1570,56.0,0.307506897,99690
1580,57.0,0.309139132,100322
1590,57.0,0.310242601,100953
1600,57.0,0.311271316,101569
1610,57.0,0.312315595,102196
1620,56.0,0.31338874,102822
1630,59.0,0.314441366,103454
1640,56.0,0.315495752,104086
1650,56.0,0.316540846,104727
1660,56.0,0.317627897,105352
1670,56.0,0.318854998,105981
1680,58.0,0.320108705,106610
1690,57.0,0.32117401,107251
1700,58.0,0.322228514,107885
1710,58.0,0.32329286,108516
