iterations,fitness,time,fevals
0,32.0,0.364151608,1000
10,38.0,0.694148812,2100
20,41.0,0.983872343,3200
30,54.0,1.234951433,4300
40,58.0,1.474291465,5400
50,53.0,1.69589752,6500
60,54.0,1.903462098,7600
70,53.0,2.109625592,8700
80,53.0,2.313575424,9800
90,53.0,2.51593505,10900
100,53.0,2.715682347,12000
110,53.0,2.921429271,13100
120,54.0,3.121729093,14200
130,54.0,3.329148175,15300
140,53.0,3.534380958,16400
150,53.0,3.736080611,17500
160,53.0,3.939734312,18600
170,53.0,4.140179736,19700
180,54.0,4.34144777,20800
190,54.0,4.546668459,21900
200,54.0,4.747020941,23000
210,54.0,4.945824849,24100
220,54.0,5.142260883,25200
230,55.0,5.33974592,26300
240,54.0,5.53997116,27400
250,55.0,5.737878531,28500
260,55.0,5.947584291,29600
270,56.0,6.149796466,30700
280,56.0,6.349099412,31800
290,67.0,6.547369134,32900
300,69.0,6.74900319,34000
310,70.0,6.955604872,35100
320,69.0,7.160884312,36200
330,70.0,7.357452439,37300
340,70.0,7.558646152,38400
350,69.0,7.759904544,39500
360,70.0,7.960703473,40600
370,70.0,8.166463681,41700
380,72.0,8.376532078,42800
390,74.0,8.588659292,43900
400,74.0,8.799489255,45000
410,75.0,9.007725182,46100
420,75.0,9.21683898,47200
430,76.0,9.423890419,48300
440,73.0,9.629017959,49400
450,75.0,9.836280318,50500
460,74.0,10.045009331,51600
470,72.0,10.245690156,52700
480,73.0,10.440257269,53800
490,75.0,10.638607734,54900
500,72.0,10.838195126,56000
510,75.0,11.039893561,57100
520,74.0,11.243435782,58200
530,73.0,11.446142479,59300
540,75.0,11.645480975,60400
550,76.0,11.849734565,61500
560,74.0,12.052926388,62600
570,75.0,12.254937532,63700
580,75.0,12.45306405,64800
590,76.0,12.658874148,65900
600,74.0,12.867016155,67000
610,75.0,13.067000944,68100
620,75.0,13.267942613,69200
630,76.0,13.471873932,70300
640,76.0,13.670993273,71400
650,75.0,13.875727647,72500
660,75.0,14.080784752,73600
670,78.0,14.287626195,74700
680,75.0,14.493166497,75800
690,76.0,14.698029976,76900
700,75.0,14.903204559,78000
710,76.0,15.099117044,79100
720,77.0,15.298747477,80200
730,76.0,15.496256473,81300
740,76.0,15.70116163,82400
750,77.0,15.910524166,83500
760,76.0,16.117865547,84600
770,76.0,16.321399478,85700
780,76.0,16.530295565,86800
790,75.0,16.741163463,87900
800,76.0,16.950450533,89000
810,76.0,17.155656558,90100
820,76.0,17.35962625,91200
830,76.0,17.568599063,92300
840,76.0,17.777594132,93400
850,76.0,17.979438706,94500
860,76.0,18.182085806,95600
870,75.0,18.388455256,96700
880,76.0,18.594968359,97800
890,76.0,18.792958744,98900
900,77.0,18.994480974,100000
910,76.0,19.19606151,101100
920,76.0,19.395940907,102200
930,77.0,19.602609789,103300
940,75.0,19.811041696,104400
950,76.0,20.021555307,105500
960,77.0,20.225137632,106600
970,77.0,20.428075956,107700
980,76.0,20.631817218,108800
990,76.0,20.842723302,109900
1000,78.0,21.045566117,111000
1010,76.0,21.251134532,112100
1020,76.0,21.45956259,113200
1030,76.0,21.661164074,114300
1040,78.0,21.864662675,115400
1050,75.0,22.069595422,116500
1060,76.0,22.272373078,117600
1070,76.0,22.47380805,118700
1080,76.0,22.679878439,119800
1090,76.0,22.888645052,120900
1100,75.0,23.093068236,122000
1110,75.0,23.288692505,123100
1120,75.0,23.49233389,124200
1130,76.0,23.700756236,125300
1140,75.0,23.898681765,126400
1150,77.0,24.102835763,127500
1160,77.0,24.303810527,128600
1170,78.0,24.510370792,129700
1180,77.0,24.712298915,130800
1190,78.0,24.914958752,131900
1200,79.0,25.118302295,133000
1210,80.0,25.32353462,134100
1220,81.0,25.527722448,135200
1230,83.0,25.726344751,136300
1240,81.0,25.925892852,137400
1250,82.0,26.128534734,138500
1260,81.0,26.328440135,139600
1270,82.0,26.530844585,140700
1280,82.0,26.739968989,141800
1290,82.0,26.938146832,142900
1300,83.0,27.141482239,144000
1310,83.0,27.341815999,145100
1320,83.0,27.546666419,146200
1330,83.0,27.751524626,147300
1340,83.0,27.949701415,148400
1350,84.0,28.14836761,149500
1360,88.0,28.351033431,150600
1370,85.0,28.55756057,151700
1380,83.0,28.759171171,152800
1390,84.0,28.960581661,153900
1400,85.0,29.158752824,155000
1410,84.0,29.357151046,156100
1420,84.0,29.554689618,157200
1430,84.0,29.753589546,158300
1440,85.0,29.950996841,159400
1450,84.0,30.144662267,160500
1460,84.0,30.338851425,161600
1470,84.0,30.53877347,162700
1480,84.0,30.73476798,163800
1490,85.0,30.938538475,164900
1500,85.0,31.140094402,166000
1510,85.0,31.337670707,167100
1520,86.0,31.542794766,168200
1530,85.0,31.740554234,169300
1540,85.0,31.940455586,170400
1550,85.0,32.137004346,171500
1560,85.0,32.33016175,172600
